,comments,attack_object_id,attack_object_name,references,tags,capability_description,capability_id,mapping_type,score_category,score_value,related_score,group,organization,creation_date,last_update,attack_version,technology_domain,mapping_framework,mapping_framework_version
95,"Identity Platform multi-tenancy uses tenants to create unique silos of users and configurations within a single Identity Platform project. It provides provides secure, easy-to-use authentication if you're building a service on Google Cloud, on your own backend or on another platform; thereby, helping to mitigate adversaries from gaining access to systems.",T1136,Create Account,['https://cloud.google.com/identity-platform/docs/concepts'],"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']",IdentityPlatform,IdentityPlatform,technique-scores,Protect,Significant,,IdentityPlatform,,05/11/2022,05/11/2022,10,enterprise,gcp,
96,"Identity Platform multi-tenancy uses tenants to create unique silos of users and configurations within a single Identity Platform project. It provides provides secure, easy-to-use authentication if you're building a service on Google Cloud, on your own backend or on another platform; thereby, helping to mitigate adversaries from gaining access to systems.",T1136.003,Cloud Account,['https://cloud.google.com/identity-platform/docs/concepts'],"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']",IdentityPlatform,IdentityPlatform,technique-scores,Protect,Significant,,IdentityPlatform,,05/11/2022,05/11/2022,10,enterprise,gcp,
97,"Identity Platform is a customer identity and access management (CIAM) platform that helps organizations add identity and access management functionality to their applications, protect user accounts, and scale with confidence on Google Cloud. With this, permissions are limited to discover cloud accounts in accordance with least privilege and adversaries may be prevented from getting access to a listing of domain accounts.",T1087,Account Discovery,['https://cloud.google.com/identity-platform/docs/concepts'],"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']",IdentityPlatform,IdentityPlatform,technique-scores,Protect,Partial,,IdentityPlatform,,05/11/2022,05/11/2022,10,enterprise,gcp,
98,"Identity Platform is a customer identity and access management (CIAM) platform that helps organizations add identity and access management functionality to their applications, protect user accounts, and scale with confidence on Google Cloud. With this, permissions are limited to discover cloud accounts in accordance with least privilege and adversaries may be prevented from getting access to a listing of cloud accounts.",T1087.004,Cloud Account,['https://cloud.google.com/identity-platform/docs/concepts'],"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']",IdentityPlatform,IdentityPlatform,technique-scores,Protect,Partial,,IdentityPlatform,,05/11/2022,05/11/2022,10,enterprise,gcp,
99,"Identity Platform is a customer identity and access management (CIAM) platform that helps organizations add identity and access management functionality to their applications, protect user accounts, and scale with confidence on Google Cloud. With this, permissions are limited to discover cloud accounts in accordance with least privilege.",T1580,Cloud Infrastructure Discovery,['https://cloud.google.com/identity-platform/docs/concepts'],"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']",IdentityPlatform,IdentityPlatform,technique-scores,Protect,Partial,,IdentityPlatform,,05/11/2022,05/11/2022,10,enterprise,gcp,
100,"Identity Platform integrates tightly with Google Cloud services, and it leverages industry standards like OAuth 2.0 and OpenID Connect, so it can be easily integrated with your custom backend. This control may mitigate application access token theft if the application is configured to retrieve temporary security credentials using an IAM role.",T1528,Steal Application Access Token,['https://cloud.google.com/identity-platform/docs/concepts'],"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']",IdentityPlatform,IdentityPlatform,technique-scores,Protect,Minimal,,IdentityPlatform,,05/11/2022,05/11/2022,10,enterprise,gcp,
101, This control may mitigate application access token theft if the application is  configured to retrieve temporary security credentials using an IAM role. ,T1550,Use Alternate Authentication Material,['https://cloud.google.com/identity-platform/docs/concepts'],"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']",IdentityPlatform,IdentityPlatform,technique-scores,Protect,Minimal,,IdentityPlatform,,05/11/2022,05/11/2022,10,enterprise,gcp,
102, This control may mitigate application access token theft if the application is  configured to retrieve temporary security credentials using an IAM role. ,T1550.001,Application Access Token,['https://cloud.google.com/identity-platform/docs/concepts'],"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']",IdentityPlatform,IdentityPlatform,technique-scores,Protect,Minimal,,IdentityPlatform,,05/11/2022,05/11/2022,10,enterprise,gcp,
103,"Identity Platform provides Admin APIs to manage  users and authentication tokens. To prevent unwanted access to your users and tokens through these APIs, Identity Platform leverages IAM to manage permission to specific Identity Platform APIs. This control will ensure proper process and file permissions are in place to prevent adversaries from disabling or interfering with security/logging services.",T1562,Impair Defenses,['https://cloud.google.com/identity-platform/docs/concepts'],"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']",IdentityPlatform,IdentityPlatform,technique-scores,Protect,Minimal,,IdentityPlatform,,05/11/2022,05/11/2022,10,enterprise,gcp,
104,"Identity Platform provides Admin APIs to manage  users and authentication tokens. To prevent unwanted access to your users and tokens through these APIs, Identity Platform leverages IAM to manage permission to specific Identity Platform APIs. This control will ensure proper process and file permissions are in place to prevent adversaries from disabling or interfering with security/logging services.",T1562.008,Disable Cloud Logs,['https://cloud.google.com/identity-platform/docs/concepts'],"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']",IdentityPlatform,IdentityPlatform,technique-scores,Protect,Minimal,,IdentityPlatform,,05/11/2022,05/11/2022,10,enterprise,gcp,
105," Identity Platform lets you add Google-grade authentication to your apps and services, making it easier to secure user accounts and securely managing credentials. MFA can be used to restrict access to cloud resources and APIs and provide protection against an adversaries that try to access  user credentials. ",T1556,Modify Authentication Process,['https://cloud.google.com/identity-platform/docs/concepts'],"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']",IdentityPlatform,IdentityPlatform,technique-scores,Protect,Minimal,,IdentityPlatform,,05/11/2022,05/11/2022,10,enterprise,gcp,
106,"Identity Platform is a customer identity and access management (CIAM) platform that helps organizations add identity and access management functionality to their applications, protect user accounts, and scale with confidence on Google Cloud. With this, permissions are limited to discover cloud accounts in accordance with least privilege and adversaries may be prevented from getting access to a listing of domain accounts.",T1087.002,Domain Account,['https://cloud.google.com/identity-platform/docs/concepts'],"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']",IdentityPlatform,IdentityPlatform,technique-scores,Protect,Partial,,IdentityPlatform,,05/11/2022,05/11/2022,10,enterprise,gcp,
107,Identity Platform can help protect your app's users and prevent account takeovers by offering multi-factor authentication (MFA) and integrating with Google's intelligence for account protection. This will help mitigate adversaries from gaining access to permission levels.,T1098.002,Exchange Email Delegate Permissions,['https://cloud.google.com/identity-platform/docs/concepts'],"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']",IdentityPlatform,IdentityPlatform,technique-scores,Protect,Significant,,IdentityPlatform,,05/11/2022,05/11/2022,10,enterprise,gcp,
108,Identity Platform can help protect your app's users and prevent account takeovers by offering multi-factor authentication (MFA) and integrating with Google's intelligence for account protection. This will help mitigate adversaries from gaining access to permission levels.,T1098.003,Add Office 365 Global Administrator Role,['https://cloud.google.com/identity-platform/docs/concepts'],"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']",IdentityPlatform,IdentityPlatform,technique-scores,Protect,Significant,,IdentityPlatform,,05/11/2022,05/11/2022,10,enterprise,gcp,
109,Identity Platform can help protect your app's users and prevent account takeovers by offering multi-factor authentication (MFA) and integrating with Google's intelligence for account protection. This will help mitigate adversaries from gaining access to permission levels via files.,T1098.004,SSH Authorized Keys,['https://cloud.google.com/identity-platform/docs/concepts'],"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']",IdentityPlatform,IdentityPlatform,technique-scores,Protect,Significant,,IdentityPlatform,,05/11/2022,05/11/2022,10,enterprise,gcp,
110,"Identity Platform multi-tenancy uses tenants to create unique silos of users and configurations within a single Identity Platform project. It provides provides secure, easy-to-use authentication if you're building a service on Google Cloud, on your own backend or on another platform; thereby, helping to mitigate adversaries from gaining access to systems and accounts.",T1136.001,Local Account,['https://cloud.google.com/identity-platform/docs/concepts'],"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']",IdentityPlatform,IdentityPlatform,technique-scores,Protect,Significant,,IdentityPlatform,,05/11/2022,05/11/2022,10,enterprise,gcp,
111,"Identity Platform multi-tenancy uses tenants to create unique silos of users and configurations within a single Identity Platform project. It provides provides secure, easy-to-use authentication if you're building a service on Google Cloud, on your own backend or on another platform; thereby, helping to mitigate adversaries from gaining access to systems.",T1136.002,Domain Account,['https://cloud.google.com/identity-platform/docs/concepts'],"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']",IdentityPlatform,IdentityPlatform,technique-scores,Protect,Significant,,IdentityPlatform,,05/11/2022,05/11/2022,10,enterprise,gcp,
112,"Adversaries may gather credentials via APIs within a containers environment. APIs in these environments, such as the Docker API and Kubernetes APIs. Anthos Config Management can manage configuration for any Kubernetes API, including policies for the Istio service mesh, resource quotas, and access control policies.",T1552.007,Container API,['https://cloud.google.com/anthos-config-management/ '],"['Configuration Management', 'Containers', 'Policy']",AnthosConfigManagement,AnthosConfigManagement,technique-scores,Protect,Partial,,AnthosConfigManagement,,05/11/2022,05/11/2022,10,enterprise,gcp,
113,"Prevent configuration drift with continuous monitoring of your cluster state, using the declarative model to apply policies that enforce compliance. This control can periodically check the integrity of images and containers used in cloud deployments to ensure that adversaries cannot implant malicious code to gain access to an environment. ",T1525,Implant Internal Image,['https://cloud.google.com/anthos-config-management/ '],"['Configuration Management', 'Containers', 'Policy']",AnthosConfigManagement,AnthosConfigManagement,technique-scores,Protect,Partial,,AnthosConfigManagement,,05/11/2022,05/11/2022,10,enterprise,gcp,
114,,T1525,Implant Internal Image,['https://cloud.google.com/anthos-config-management/ '],"['Configuration Management', 'Containers', 'Policy']",AnthosConfigManagement,AnthosConfigManagement,technique-scores,Detect,Partial,,AnthosConfigManagement,,05/11/2022,05/11/2022,10,enterprise,gcp,
115,Anthos Config Management lets you create and manage Kubernetes objects across multiple clusters at once. PodSecurityPolicies can be enforced to prevent Pods from using the root Linux user and prevents pods from running privileged containers. In hindsight this can ensure containers are not running as root by default. ,T1609,Container Administration Command,['https://cloud.google.com/anthos-config-management/ '],"['Configuration Management', 'Containers', 'Policy']",AnthosConfigManagement,AnthosConfigManagement,technique-scores,Protect,Partial,,AnthosConfigManagement,,05/11/2022,05/11/2022,10,enterprise,gcp,
116,"Anthos Config Management's Policy Controller enables you to enforce fully programmable policies on your clusters. You can use these policies to shift security left and guard against violations during development and test time, as well as runtime violations. This control can be used to block adversaries that try to deploy new containers with malware or configurations policies that are not in compliance with security policies already defined. ",T1610,Deploy Container,['https://cloud.google.com/anthos-config-management/ '],"['Configuration Management', 'Containers', 'Policy']",AnthosConfigManagement,AnthosConfigManagement,technique-scores,Protect,Partial,,AnthosConfigManagement,,05/11/2022,05/11/2022,10,enterprise,gcp,
117,"Adversaries may attempt to discover containers and other resources that are available within a containers environment. The ""Network Policies"" rule controls the network traffic inside clusters, denying direct remote access to internal systems through the use of network proxies, gateways, and firewalls",T1613,Container and Resource Discovery,['https://cloud.google.com/anthos-config-management/ '],"['Configuration Management', 'Containers', 'Policy']",AnthosConfigManagement,AnthosConfigManagement,technique-scores,Protect,Significant,,AnthosConfigManagement,,05/11/2022,05/11/2022,10,enterprise,gcp,
118,"Anthos Config Management lets you create and manage Kubernetes objects across multiple clusters at once. PodSecurityPolicies can be enforced to prevent Pods from using the root Linux user and prevents pods from running privileged containers. This control can be used to limit container access to host process namespaces, the host network, and the host file system, which may enable adversaries to break out of containers and gain access to the underlying host.",T1611,Escape to Host,['https://cloud.google.com/anthos-config-management/ '],"['Configuration Management', 'Containers', 'Policy']",AnthosConfigManagement,AnthosConfigManagement,technique-scores,Protect,Partial,,AnthosConfigManagement,,05/11/2022,05/11/2022,10,enterprise,gcp,
119,"Anthos Config Management lets you create and manage Kubernetes objects across multiple clusters at once. PodSecurityPolicies can be enforced to prevent Pods from using the root Linux user. Based on the medium detection coverage, this was scored as partial.",T1078,Valid Accounts,['https://cloud.google.com/anthos-config-management/ '],"['Configuration Management', 'Containers', 'Policy']",AnthosConfigManagement,AnthosConfigManagement,technique-scores,Protect,Partial,,AnthosConfigManagement,,05/11/2022,05/11/2022,10,enterprise,gcp,
120,"Anthos Config Management lets you create and manage Kubernetes objects across multiple clusters at once. PodSecurityPolicies can be enforced to prevent Pods from using the root Linux user. Based on the medium detection coverage, this sub-technique was scored as partial.",T1078.001,Default Accounts,['https://cloud.google.com/anthos-config-management/ '],"['Configuration Management', 'Containers', 'Policy']",AnthosConfigManagement,AnthosConfigManagement,technique-scores,Protect,Partial,,AnthosConfigManagement,,05/11/2022,05/11/2022,10,enterprise,gcp,
121,"Anthos Config Management lets you create and manage Kubernetes objects across multiple clusters at once. PodSecurityPolicies can be enforced to prevent Pods from using the root Linux user. Based on the medium detection coverage, this sub-technique was scored as partial.",T1078.004,Cloud Accounts,['https://cloud.google.com/anthos-config-management/ '],"['Configuration Management', 'Containers', 'Policy']",AnthosConfigManagement,AnthosConfigManagement,technique-scores,Protect,Partial,,AnthosConfigManagement,,05/11/2022,05/11/2022,10,enterprise,gcp,
122,"Web Risk allows client applications to check URLs against Google's list of unsafe web resources. It also can provide warnings when attempting to access potentially unsafe sites. However, Google cannot guarantee that its information is comprehensive and error-free: some risky sites may not be identified, and some safe sites may be classified in error. This has resulted in an overall score of Partial.",T1566,Phishing,['https://cloud.google.com/web-risk/docs/overview'],['Network'],Web Risk,Web Risk,technique-scores,Protect,Partial,,Web Risk,,05/11/2022,05/11/2022,10,enterprise,gcp,
123,"Web Risk allows client applications to check URLs against Google's list of unsafe web resources. It also can provide warnings when attempting to access potentially unsafe sites. However, Google cannot guarantee that its information is comprehensive and error-free: some risky sites may not be identified, and some safe sites may be classified in error. This has resulted in an overall score of Partial.",T1598,Phishing for Information,['https://cloud.google.com/web-risk/docs/overview'],['Network'],Web Risk,Web Risk,technique-scores,Protect,Partial,,Web Risk,,05/11/2022,05/11/2022,10,enterprise,gcp,
124,"Web Risk allows client applications to check URLs against Google's list of unsafe web resources. It also can provide warnings when attempting to access potentially unsafe sites. However, Google cannot guarantee that its information is comprehensive and error-free: some risky sites may not be identified, and some safe sites may be classified in error. This has resulted in an overall score of Partial.",T1204.001,Malicious Link,['https://cloud.google.com/web-risk/docs/overview'],['Network'],Web Risk,Web Risk,technique-scores,Protect,Partial,,Web Risk,,05/11/2022,05/11/2022,10,enterprise,gcp,
125,"Web Risk allows client applications to check URLs against Google's list of unsafe web resources. It also can provide warnings when attempting to access potentially unsafe sites. However, Google cannot guarantee that its information is comprehensive and error-free: some risky sites may not be identified, and some safe sites may be classified in error. This has resulted in an overall score of Partial.",T1598.003,Spearphishing Link,['https://cloud.google.com/web-risk/docs/overview'],['Network'],Web Risk,Web Risk,technique-scores,Protect,Partial,,Web Risk,,05/11/2022,05/11/2022,10,enterprise,gcp,
126,"Cloud CDN acts as a proxy between clients and origin servers. Cloud CDN can distribute requests for cacheable content across multiple points-of-presence (POPs), thereby providing a larger set of locations to absorb a DOS attack.

However, Cloud CDN doesn't provide protection against DOS attacks for uncached content.",T1498,Network Denial of Service,['https://cloud.google.com/cdn/docs/overview'],"['Containers', 'Kubernetes', 'Logging']",Cloud CDN,Cloud CDN,technique-scores,Protect,Partial,,Cloud CDN,,05/11/2022,05/11/2022,10,enterprise,gcp,
127,"This control can help mitigate adversaries that may try to steal data over network protocols.  Data loss prevention can detect and block sensitive data being uploaded via web browsers. In Beyond Corp Enterprise, Data Loss Prevention (DLP) features to use with Chrome to implement sensitive data detection for files that are uploaded and downloaded, and for content that is pasted or dragged and dropped. An example includes a rule setting that is used to block files from being uploaded via Chrome browser.",T1048,Exfiltration Over Alternative Protocol,['https://cloud.google.com/beyondcorp-enterprise/docs/overview'],"['Access Control Policies', 'Data Loss Prevention']",BeyondCorp Enterprise,BeyondCorp Enterprise,technique-scores,Protect,Significant,,BeyondCorp Enterprise,,05/11/2022,05/11/2022,10,enterprise,gcp,
128," This control can help mitigate adversaries that may try to steal data over web services. A threat actor gaining access to a corporate network can plant code to perform reconnaissance, discover privileged users’ credentials, and adversaries can use an existing, legitimate external Web service to exfiltrate data rather than their primary command and control channel. This can cause exfiltration to a command-and-control server out on the internet. Data loss prevention can be used to detect and block sensitive data being uploaded to web services via web browsers.",T1567,Exfiltration Over Web Service,['https://cloud.google.com/beyondcorp-enterprise/docs/overview'],"['Access Control Policies', 'Data Loss Prevention']",BeyondCorp Enterprise,BeyondCorp Enterprise,technique-scores,Protect,Significant,,BeyondCorp Enterprise,,05/11/2022,05/11/2022,10,enterprise,gcp,
129," This control can help mitigate adversaries that may try to steal data over web services. A threat actor gaining access to a corporate network can plant code to perform reconnaissance, discover privileged users’ credentials, and adversaries can use an existing, legitimate external Web service to exfiltrate data rather than their primary command and control channel. This can cause exfiltration to a command-and-control server out on the internet. Data loss prevention can be used to detect and block sensitive data being uploaded to web services via web browsers.",T1567.002,Exfiltration to Cloud Storage,['https://cloud.google.com/beyondcorp-enterprise/docs/overview'],"['Access Control Policies', 'Data Loss Prevention']",BeyondCorp Enterprise,BeyondCorp Enterprise,technique-scores,Protect,Significant,,BeyondCorp Enterprise,,05/11/2022,05/11/2022,10,enterprise,gcp,
130,"Implementing BeyondCorp Enterprise enacts a zero trust model. No one can access your resources unless they meet all the rules and conditions. Instead of securing your resources at the network-level, access controls are instead applied to individual devices and users.",T1133,External Remote Services,['https://cloud.google.com/beyondcorp-enterprise/docs/overview'],"['Access Control Policies', 'Data Loss Prevention']",BeyondCorp Enterprise,BeyondCorp Enterprise,technique-scores,Protect,Partial,,BeyondCorp Enterprise,,05/11/2022,05/11/2022,10,enterprise,gcp,
131,"To enable additional protections against data loss and malware in Chrome, you need to enable Chrome Enterprise connectors so content gathered in Chrome is uploaded to Google Cloud for analysis. The Chrome Enterprise connectors must be enabled for DLP rules to integrate with Chrome.",T1189,Drive-by Compromise,['https://cloud.google.com/beyondcorp-enterprise/docs/overview'],"['Access Control Policies', 'Data Loss Prevention']",BeyondCorp Enterprise,BeyondCorp Enterprise,technique-scores,Protect,Partial,,BeyondCorp Enterprise,,05/11/2022,05/11/2022,10,enterprise,gcp,
132,"This control can help detect malicious links sent via phishing. The details include a list of samples of message delivery events.  Each item in the list includes the date, message ID, subject hash, message body hash, username of the recipient, attachment hashes, and your primary domain name. This can be used to block senders.",T1566.001,Spearphishing Attachment,['https://cloud.google.com/beyondcorp-enterprise/docs/overview'],"['Access Control Policies', 'Data Loss Prevention']",BeyondCorp Enterprise,BeyondCorp Enterprise,technique-scores,Detect,Minimal,,BeyondCorp Enterprise,,05/11/2022,05/11/2022,10,enterprise,gcp,
133,"This control can help detect malicious links sent via phishing. The details include a list of samples of message delivery events.  Each item in the list includes the date, message ID, subject hash, message body hash, username of the recipient, attachment hashes, and your primary domain name. As a result, this can be used to block senders.",T1566,Phishing,['https://cloud.google.com/beyondcorp-enterprise/docs/overview'],"['Access Control Policies', 'Data Loss Prevention']",BeyondCorp Enterprise,BeyondCorp Enterprise,technique-scores,Protect,Significant,,BeyondCorp Enterprise,,05/11/2022,05/11/2022,10,enterprise,gcp,
134,"This control can help detect malicious links sent via phishing. The details include a list of samples of message delivery events.  Each item in the list includes the date, message ID, subject hash, message body hash, username of the recipient, attachment hashes, and your primary domain name.",T1566,Phishing,['https://cloud.google.com/beyondcorp-enterprise/docs/overview'],"['Access Control Policies', 'Data Loss Prevention']",BeyondCorp Enterprise,BeyondCorp Enterprise,technique-scores,Detect,Significant,,BeyondCorp Enterprise,,05/11/2022,05/11/2022,10,enterprise,gcp,
135,"Google chrome policies can be setup through the Google Admin console, which can ensure checks for sensitive data or help protect Chrome users from content that may contain malware. This also enables certain files to be sent for analysis, and in return the admin can then choose to allow or block uploads and downloads for those scanned and unscanned files. By specifying a list of URL patterns, these policies can determine which pages identified through Chrome violates a rule, and end users are prevented from accessing the page.",T1071.001,Web Protocols,['https://cloud.google.com/beyondcorp-enterprise/docs/overview'],"['Access Control Policies', 'Data Loss Prevention']",BeyondCorp Enterprise,BeyondCorp Enterprise,technique-scores,Detect,Significant,,BeyondCorp Enterprise,,05/11/2022,05/11/2022,10,enterprise,gcp,
136,"Access Context Manager allows Google Cloud organization administrators to define fine-grained, attribute based access control for projects and resources. Access levels applied on resources with IAM Conditions enforce fine-grained access control based on a variety of attributes, including IP subnetworks. Adversaries may obtain leaked credentials; however, this control can block specific  adversaries from gaining access permission controls by admins granting an access level based on the IP address of the originating request.

",T1530,Data from Cloud Storage Object,['https://cloud.google.com/beyondcorp-enterprise/docs/overview'],"['Access Control Policies', 'Data Loss Prevention']",BeyondCorp Enterprise,BeyondCorp Enterprise,technique-scores,Protect,Significant,,BeyondCorp Enterprise,,05/11/2022,05/11/2022,10,enterprise,gcp,
137,"This control may mitigate brute force attacks by enforcing multi-factor authentication, enforcing strong password policies, and rotating credentials periodically. These recommendations are IAM best practices but must be explicitly implemented by a cloud administrator.",T1110,Brute Force,['https://cloud.google.com/identity'],"['Identity', 'Multi-Factor Authentication', 'Credentials']",Cloud Identity,Cloud Identity,technique-scores,Protect,Significant,,Cloud Identity,,05/11/2022,05/11/2022,10,enterprise,gcp,
138,"This control may mitigate brute force attacks by enforcing multi-factor authentication, enforcing strong password policies, and rotating credentials periodically. These recommendations are IAM best practices but must be explicitly implemented by a cloud administrator.",T1110.003,Password Spraying,['https://cloud.google.com/identity'],"['Identity', 'Multi-Factor Authentication', 'Credentials']",Cloud Identity,Cloud Identity,technique-scores,Protect,Significant,,Cloud Identity,,05/11/2022,05/11/2022,10,enterprise,gcp,
139,This control can be used to mitigate malicious attacks of cloud accounts by implementing multi-factor authentication techniques or password policies.,T1078,Valid Accounts,['https://cloud.google.com/identity'],"['Identity', 'Multi-Factor Authentication', 'Credentials']",Cloud Identity,Cloud Identity,technique-scores,Protect,Partial,,Cloud Identity,,05/11/2022,05/11/2022,10,enterprise,gcp,
140,This control can be used to mitigate malicious attacks of cloud accounts by implementing multi-factor authentication techniques or password policies.,T1078.004,Cloud Accounts,['https://cloud.google.com/identity'],"['Identity', 'Multi-Factor Authentication', 'Credentials']",Cloud Identity,Cloud Identity,technique-scores,Protect,Partial,,Cloud Identity,,05/11/2022,05/11/2022,10,enterprise,gcp,
141,"This control may mitigate brute force attacks by enforcing multi-factor authentication, enforcing strong password policies, and rotating credentials periodically. These recommendations are IAM best practices but must be explicitly implemented by a cloud administrator.",T1110.001,Password Guessing,['https://cloud.google.com/identity'],"['Identity', 'Multi-Factor Authentication', 'Credentials']",Cloud Identity,Cloud Identity,technique-scores,Protect,Significant,,Cloud Identity,,05/11/2022,05/11/2022,10,enterprise,gcp,
142,"This control may mitigate brute force attacks by enforcing multi-factor authentication, enforcing strong password policies, and rotating credentials periodically. These recommendations are IAM best practices but must be explicitly implemented by a cloud administrator.",T1110.002,Password Cracking,['https://cloud.google.com/identity'],"['Identity', 'Multi-Factor Authentication', 'Credentials']",Cloud Identity,Cloud Identity,technique-scores,Protect,Significant,,Cloud Identity,,05/11/2022,05/11/2022,10,enterprise,gcp,
143,"This control may mitigate brute force attacks by enforcing multi-factor authentication, enforcing strong password policies, and rotating credentials periodically. These recommendations are IAM best practices but must be explicitly implemented by a cloud administrator.",T1110.004,Credential Stuffing,['https://cloud.google.com/identity'],"['Identity', 'Multi-Factor Authentication', 'Credentials']",Cloud Identity,Cloud Identity,technique-scores,Protect,Significant,,Cloud Identity,,05/11/2022,05/11/2022,10,enterprise,gcp,
144,This control can be used to mitigate malicious attacks of domain accounts by implementing multi-factor authentication techniques or password policies.,T1078.002,Domain Accounts,['https://cloud.google.com/identity'],"['Identity', 'Multi-Factor Authentication', 'Credentials']",Cloud Identity,Cloud Identity,technique-scores,Protect,Partial,,Cloud Identity,,05/11/2022,05/11/2022,10,enterprise,gcp,
145,This control can be used to detect adversaries that may try to use Valid Accounts to log into remote machines using Secure Shell (SSH).,T1021.004,SSH,['https://cloud.google.com/identity'],"['Identity', 'Multi-Factor Authentication', 'Credentials']",Cloud Identity,Cloud Identity,technique-scores,Detect,Minimal,,Cloud Identity,,05/11/2022,05/11/2022,10,enterprise,gcp,
146,MFA and enforcing the principal of least privilege can be used to control adversaries and possibly hinder them from gaining access to a victim network or a private code repository.,T1213.003,Code Repositories,['https://cloud.google.com/identity'],"['Identity', 'Multi-Factor Authentication', 'Credentials']",Cloud Identity,Cloud Identity,technique-scores,Protect,Partial,,Cloud Identity,,05/11/2022,05/11/2022,10,enterprise,gcp,
147,MFA and enforcing the principal of least privilege can be used to control adversaries and possibly hinder them from gaining access to a victim network or a private code repository.,T1213,Data from Information Repositories,['https://cloud.google.com/identity'],"['Identity', 'Multi-Factor Authentication', 'Credentials']",Cloud Identity,Cloud Identity,technique-scores,Protect,Partial,,Cloud Identity,,05/11/2022,05/11/2022,10,enterprise,gcp,
148,,T1133,External Remote Services,['https://cloud.google.com/identity'],"['Identity', 'Multi-Factor Authentication', 'Credentials']",Cloud Identity,Cloud Identity,technique-scores,Protect,Minimal,,Cloud Identity,,05/11/2022,05/11/2022,10,enterprise,gcp,
149,Traffic to known anonymity networks and C2 infrastructure can be blocked through the use of network allow and block lists. However this can be circumvented by other techniques.,T1090,Proxy,['https://cloud.google.com/armor'],"['Network', 'Firewall']",Cloud Armor,Cloud Armor,technique-scores,Protect,Partial,,Cloud Armor,,05/11/2022,05/11/2022,10,enterprise,gcp,
150,Google Cloud Armor security policies protect your application by providing Layer 7 filtering and by scrubbing incoming requests for common web attacks or other Layer 7 attributes. Google Cloud Armor detects malicious requests and drops them at the edge of Google's infrastructure.,T1190,Exploit Public-Facing Application,['https://cloud.google.com/armor'],"['Network', 'Firewall']",Cloud Armor,Cloud Armor,technique-scores,Protect,Significant,,Cloud Armor,,05/11/2022,05/11/2022,10,enterprise,gcp,
151,"Google Cloud Armor provides always-on DDoS protection against network or protocol-based volumetric DDoS attacks. It allows users to allow/deny traffic at the Google Cloud edge, closest to the source of traffic. This prevents unwelcome traffic from consuming resources.",T1498,Network Denial of Service,['https://cloud.google.com/armor'],"['Network', 'Firewall']",Cloud Armor,Cloud Armor,technique-scores,Protect,Significant,,Cloud Armor,,05/11/2022,05/11/2022,10,enterprise,gcp,
152,"Google Cloud Armor provides always-on DDoS protection against network or protocol-based volumetric DDoS attacks. It allows users to allow/deny traffic at the Google Cloud edge, closest to the source of traffic. This prevents unwelcome traffic from consuming resources.",T1499,Endpoint Denial of Service,['https://cloud.google.com/armor'],"['Network', 'Firewall']",Cloud Armor,Cloud Armor,technique-scores,Protect,Significant,,Cloud Armor,,05/11/2022,05/11/2022,10,enterprise,gcp,
153,This control typically filters external network traffic and therefore can be effective for preventing external remote system discovery. Activity originating from inside the trusted network is not mitigated.,T1018,Remote System Discovery,['https://cloud.google.com/armor'],"['Network', 'Firewall']",Cloud Armor,Cloud Armor,technique-scores,Protect,Partial,,Cloud Armor,,05/11/2022,05/11/2022,10,enterprise,gcp,
154,This control typically filters external network traffic and therefore can be effective for preventing external network service scanning. Network service scanning originating from inside the trusted network is not mitigated.,T1046,Network Service Scanning,['https://cloud.google.com/armor'],"['Network', 'Firewall']",Cloud Armor,Cloud Armor,technique-scores,Protect,Partial,,Cloud Armor,,05/11/2022,05/11/2022,10,enterprise,gcp,
155,"This control allows for enforcement of strong password requirements for all mobile devices, desktops, laptops, and other endpoints. This control also allows for use of Google Credential Provider for Windows (GCPW) to utilize Google single sign on for Windows devices that can leverage two-factor authentication and login challenges.",T1110,Brute Force,['https://support.google.com/a/answer/1734200?hl=en'],"['Identity', 'Patch Management']",Endpoint Management,Endpoint Management,technique-scores,Protect,Partial,,Endpoint Management,,05/11/2022,05/11/2022,10,enterprise,gcp,
