,comments,attack_object_id,attack_object_name,references,capability_description,capability_id,mapping_type,score_category,score_value,related_score,group,status,organization,creation_date,last_update,attack_version,technology_domain,mapping_framework,mapping_framework_version
85,"This control's CORS related recommendations can help lead to hardened web applications.  This can reduce  the likelihood of an application being exploited to reveal sensitive data that can lead to the compromise of an environment. 
Likewise this control's recommendations related to keeping Java/PHP up to date for API/Function/Web apps can lead to hardening the public facing content that uses these runtimes.
This control's recommendations related to disabling Public network access for Azure databases can lead to reducing the exposure of resources to the public Internet and thereby reduce the attack surface.
These recommendations are limited to specific technologies (Java, PHP and CORS, SQL DBs) and therefore provide Minimal coverage leading to a Minimal score.",T1190,Exploit Public-Facing Application,"['https://docs.microsoft.com/en-us/azure/security-center/recommendations-reference', 'https://docs.microsoft.com/en-us/azure/security-center/security-center-introduction']",Azure Security Center Recommendations,Azure Security Center Recommendations,technique_scores,protect,minimal,,Azure Security Center Recommendations,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
86,"This control's ""Authentication to Linux machines should require SSH keys"" recommendation can  lead to obviating SSH Brute Force password attacks.  Because this is specific to Linux, the coverage score is Minimal leading to an overall Minimal score.",T1110,Brute Force,"['https://docs.microsoft.com/en-us/azure/security-center/recommendations-reference', 'https://docs.microsoft.com/en-us/azure/security-center/security-center-introduction']",Azure Security Center Recommendations,Azure Security Center Recommendations,technique_scores,protect,minimal,,Azure Security Center Recommendations,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
87,"This control's ""Authentication to Linux machines should require SSH keys"" can obviate SSH Brute Force password attacks.  Because this is specific to Linux, the coverage score is Minimal leading to an overall Minimal score.",T1110.001,Password Guessing,[],Azure Security Center Recommendations,Azure Security Center Recommendations,technique_scores,protect,minimal,T1110,Azure Security Center Recommendations,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
88,"This control's ""Authentication to Linux machines should require SSH keys"" can obviate SSH Brute Force password attacks.  Because this is specific to Linux, the coverage score is Minimal leading to an overall Minimal score.",T1110.003,Password Spraying,[],Azure Security Center Recommendations,Azure Security Center Recommendations,technique_scores,protect,minimal,T1110,Azure Security Center Recommendations,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
89,"This control's ""Authentication to Linux machines should require SSH keys"" can obviate SSH Brute Force password attacks.  Because this is specific to Linux, the coverage score is Minimal leading to an overall Minimal score.",T1110.004,Credential Stuffing,[],Azure Security Center Recommendations,Azure Security Center Recommendations,technique_scores,protect,minimal,T1110,Azure Security Center Recommendations,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
90,"This control provides recommendations for enabling Secure Boot of Linux VMs that can mitigate a few of the sub-techniques of this technique.  Because this is a recommendation and only limited to a few sub-techniques of this technique, its assessed score is Partial.",T1542,Pre-OS Boot,"['https://docs.microsoft.com/en-us/azure/security-center/recommendations-reference', 'https://docs.microsoft.com/en-us/azure/security-center/security-center-introduction']",Azure Security Center Recommendations,Azure Security Center Recommendations,technique_scores,protect,partial,,Azure Security Center Recommendations,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
91,"This control's ""Secure Boot should be enabled on your Linux virtual machine"" and ""Virtual machines should be attested for boot integrity health"" recommendations can lead to enabling secure boot on Linux VMs to mitigate these sub-techniques.  Because this recommendation is specific to Linux VM and is a recommendation, its score is capped at Partial.",T1542.001,System Firmware,[],Azure Security Center Recommendations,Azure Security Center Recommendations,technique_scores,protect,partial,T1542,Azure Security Center Recommendations,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
92,"This control's ""Secure Boot should be enabled on your Linux virtual machine"" and ""Virtual machines should be attested for boot integrity health"" recommendations can lead to enabling secure boot on Linux VMs to mitigate these sub-techniques.  Because this recommendation is specific to Linux VM and is a recommendation, its score is capped at Partial.",T1542.003,Bootkit,[],Azure Security Center Recommendations,Azure Security Center Recommendations,technique_scores,protect,partial,T1542,Azure Security Center Recommendations,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
93,"This control provides recommendations for limiting the CPU and memory resources consumed by a container to minimize resource exhaustion attacks.  Because this control only covers one sub-technique of this technique, its score is assessed as Minimal.",T1499,Endpoint Denial of Service,"['https://docs.microsoft.com/en-us/azure/security-center/recommendations-reference', 'https://docs.microsoft.com/en-us/azure/security-center/security-center-introduction']",Azure Security Center Recommendations,Azure Security Center Recommendations,technique_scores,protect,minimal,,Azure Security Center Recommendations,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
94,"This control's ""Container CPU and memory limits should be enforced"" recommendation can lead to preventing resource exhaustion attacks by recommending enforcing limits for containers to ensure the runtime prevents the container from using more than the configured resource limit. Because this is a recommendation, its score is capped at Partial.",T1499.001,OS Exhaustion Flood,[],Azure Security Center Recommendations,Azure Security Center Recommendations,technique_scores,protect,partial,T1499,Azure Security Center Recommendations,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
95,"This control's ""Container images should be deployed from trusted registries only"", ""Container registries should not allow unrestricted network access"" and ""Container registries should use private link"" recommendations can lead to ensuring that container images are only loaded from trusted registries thereby mitigating this technique.",T1525,Implant Container Image,"['https://docs.microsoft.com/en-us/azure/security-center/recommendations-reference', 'https://docs.microsoft.com/en-us/azure/security-center/security-center-introduction']",Azure Security Center Recommendations,Azure Security Center Recommendations,technique_scores,protect,partial,,Azure Security Center Recommendations,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
96,"This control's ""Container with privilege escalation should be avoided"", ""Least privileged Linux capabilities should be enforced for containers"", ""Privileged containers should be avoided"", ""Running containers as root user should be avoided"" and ""Containers sharing sensitive host namespaces should be avoided"" recommendations can make it difficult for adversaries to advance their operation through exploitation of undiscovered or unpatched vulnerabilities.  Because this is a recommendation, the assessed score has been capped at Partial.",T1068,Exploitation for Privilege Escalation,"['https://docs.microsoft.com/en-us/azure/security-center/recommendations-reference', 'https://docs.microsoft.com/en-us/azure/security-center/security-center-introduction']",Azure Security Center Recommendations,Azure Security Center Recommendations,technique_scores,protect,partial,,Azure Security Center Recommendations,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
97,"This control's ""Immutable (read-only) root filesystem should be enforced for containers"" recommendation can prevent modifying the ssh_authorized keys file.  Because it is a recommendation and limited to only one sub-technique, its score is Minimal.",T1098,Account Manipulation,"['https://docs.microsoft.com/en-us/azure/security-center/recommendations-reference', 'https://docs.microsoft.com/en-us/azure/security-center/security-center-introduction']",Azure Security Center Recommendations,Azure Security Center Recommendations,technique_scores,protect,minimal,,Azure Security Center Recommendations,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
98,"This control's ""Immutable (read-only) root filesystem should be enforced for containers"" recommendation can lead to preventing modification of a Kubernetes container's file system which can mitigate this technique.  Because this recommendation is specific to Kubernetes containers, its score is Minimal.",T1098.004,SSH Authorized Keys,[],Azure Security Center Recommendations,Azure Security Center Recommendations,technique_scores,protect,minimal,T1098,Azure Security Center Recommendations,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
99,"This control's ""Immutable (read-only) root filesystem should be enforced for containers"" recommendation can lead to preventing modification of binaries in Kubernetes containers thereby mitigating this technique.  Because this is a recommendation, its score is capped at Partial.",T1554,Compromise Client Software Binary,"['https://docs.microsoft.com/en-us/azure/security-center/recommendations-reference', 'https://docs.microsoft.com/en-us/azure/security-center/security-center-introduction']",Azure Security Center Recommendations,Azure Security Center Recommendations,technique_scores,protect,partial,,Azure Security Center Recommendations,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
100,"This control's ""Immutable (read-only) root filesystem should be enforced for containers"" recommendation can mitigate a sub-technique of this technique.  Due to its Minimal coverage, its score is assessed as Minimal.",T1136,Create Account,"['https://docs.microsoft.com/en-us/azure/security-center/recommendations-reference', 'https://docs.microsoft.com/en-us/azure/security-center/security-center-introduction']",Azure Security Center Recommendations,Azure Security Center Recommendations,technique_scores,protect,minimal,,Azure Security Center Recommendations,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
101,"This control's ""Immutable (read-only) root filesystem should be enforced for containers"" recommendation can lead to preventing system files from being modified in Kubernetes containers thereby mitigating this sub-technique since adding an account (on Linux) requires modifying system files.  Because this is a recommendation, its score is capped at Partial.",T1136.001,Local Account,[],Azure Security Center Recommendations,Azure Security Center Recommendations,technique_scores,protect,partial,T1136,Azure Security Center Recommendations,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
102,"This control's ""Immutable (read-only) root filesystem should be enforced for containers"" recommendation can mitigate a sub-technique of this technique.  Due to its Minimal coverage, its score is assessed as Minimal.",T1543,Create or Modify System Process,"['https://docs.microsoft.com/en-us/azure/security-center/recommendations-reference', 'https://docs.microsoft.com/en-us/azure/security-center/security-center-introduction']",Azure Security Center Recommendations,Azure Security Center Recommendations,technique_scores,protect,minimal,,Azure Security Center Recommendations,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
103,"This control's ""Immutable (read-only) root filesystem should be enforced for containers"" recommendation can lead to preventing the addition or modification of systemd service files in Kubernetes containers thereby mitigating this sub-technique.  Because this is a recommendation, and specific to Kubernetes containers, its score is assessed as Minimal.",T1543.002,Systemd Service,[],Azure Security Center Recommendations,Azure Security Center Recommendations,technique_scores,protect,minimal,T1543,Azure Security Center Recommendations,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
104,"This control's ""Immutable (read-only) root filesystem should be enforced for containers"" recommendation can mitigate a sub-technique of this technique.  Due to its Minimal coverage, its score is assessed as Minimal.",T1546,Event Triggered Execution,"['https://docs.microsoft.com/en-us/azure/security-center/recommendations-reference', 'https://docs.microsoft.com/en-us/azure/security-center/security-center-introduction']",Azure Security Center Recommendations,Azure Security Center Recommendations,technique_scores,protect,minimal,,Azure Security Center Recommendations,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
105,"This control's ""Immutable (read-only) root filesystem should be enforced for containers"" recommendation can lead to preventing the addition or modification of the file system in Kubernetes containers thereby mitigating this sub-technique.  Because this is a recommendation, and specific to Kubernetes containers, its score is assessed as Minimal.",T1546.004,.bash_profile and .bashrc,[],Azure Security Center Recommendations,Azure Security Center Recommendations,technique_scores,protect,minimal,T1546,Azure Security Center Recommendations,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
106,"This control's ""Immutable (read-only) root filesystem should be enforced for containers"" recommendation can mitigate a sub-technique of this technique.  Due to its Minimal coverage, its score is assessed as Minimal.",T1505,Server Software Component,"['https://docs.microsoft.com/en-us/azure/security-center/recommendations-reference', 'https://docs.microsoft.com/en-us/azure/security-center/security-center-introduction']",Azure Security Center Recommendations,Azure Security Center Recommendations,technique_scores,protect,minimal,,Azure Security Center Recommendations,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
107,"This control's ""Immutable (read-only) root filesystem should be enforced for containers"" recommendation can lead to preventing modifications to the file system in Kubernetes containers which can mitigate adversaries installing web shells.  Because this is a recommendation, and specific to Kubernetes containers, its score is assessed as Minimal.",T1505.003,Web Shell,[],Azure Security Center Recommendations,Azure Security Center Recommendations,technique_scores,protect,minimal,T1505,Azure Security Center Recommendations,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
108,"This control's ""Immutable (read-only) root filesystem should be enforced for containers"" recommendation can mitigate a sub-technique of this technique.  Due to its Minimal coverage, its score is assessed as Minimal.",T1222,File and Directory Permissions Modification,"['https://docs.microsoft.com/en-us/azure/security-center/recommendations-reference', 'https://docs.microsoft.com/en-us/azure/security-center/security-center-introduction']",Azure Security Center Recommendations,Azure Security Center Recommendations,technique_scores,protect,minimal,,Azure Security Center Recommendations,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
109,"This control's ""Immutable (read-only) root filesystem should be enforced for containers"" recommendation can lead to preventing the modification of the file system permissions in Kubernetes containers thereby mitigating this sub-technique.  Because this is a recommendation, and specific to Kubernetes containers, its score is assessed as Minimal.",T1222.002,Linux and Mac File and Directory Permissions Modification,[],Azure Security Center Recommendations,Azure Security Center Recommendations,technique_scores,protect,minimal,T1222,Azure Security Center Recommendations,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
110,"This control's ""Immutable (read-only) root filesystem should be enforced for containers"" recommendation can mitigate some of the sub-techniques of this technique.  Due to its partial coverage and Minimal score assessed for its sub-techniques, its score is assessed as Minimal.",T1564,Hide Artifacts,"['https://docs.microsoft.com/en-us/azure/security-center/recommendations-reference', 'https://docs.microsoft.com/en-us/azure/security-center/security-center-introduction']",Azure Security Center Recommendations,Azure Security Center Recommendations,technique_scores,protect,minimal,,Azure Security Center Recommendations,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
111,"This control's ""Immutable (read-only) root filesystem should be enforced for containers"" recommendation can lead to preventing these sub-techniques which result in changes to the file system directly or indirectly during their execution.  Because this is a recommendation, and specific to Kubernetes containers, its score is assessed as Minimal.",T1564.001,Hidden Files and Directories,[],Azure Security Center Recommendations,Azure Security Center Recommendations,technique_scores,protect,minimal,T1564,Azure Security Center Recommendations,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
112,"This control's ""Immutable (read-only) root filesystem should be enforced for containers"" recommendation can lead to preventing these sub-techniques which result in changes to the file system directly or indirectly during their execution.  Because this is a recommendation, and specific to Kubernetes containers, its score is assessed as Minimal.",T1564.005,Hidden File System,[],Azure Security Center Recommendations,Azure Security Center Recommendations,technique_scores,protect,minimal,T1564,Azure Security Center Recommendations,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
113,"This control's ""Immutable (read-only) root filesystem should be enforced for containers"" recommendation can lead to preventing these sub-techniques which result in changes to the file system directly or indirectly during their execution.  Because this is a recommendation, and specific to Kubernetes containers, its score is assessed as Minimal.",T1564.006,Run Virtual Instance,[],Azure Security Center Recommendations,Azure Security Center Recommendations,technique_scores,protect,minimal,T1564,Azure Security Center Recommendations,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
114,"This control's ""Immutable (read-only) root filesystem should be enforced for containers"" recommendation can mitigate a few of the sub-techniques of this technique.  Due to its Minimal coverage, its score is assessed as Minimal.",T1053,Scheduled Task/Job,"['https://docs.microsoft.com/en-us/azure/security-center/recommendations-reference', 'https://docs.microsoft.com/en-us/azure/security-center/security-center-introduction']",Azure Security Center Recommendations,Azure Security Center Recommendations,technique_scores,protect,minimal,,Azure Security Center Recommendations,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
115,"This control's ""Immutable (read-only) root filesystem should be enforced for containers"" recommendation can lead to preventing the addition or modification of config files in Kubernetes containers required to implement the behaviors described in these sub-techniques.   Because this is a recommendation, and specific to Kubernetes containers, its score is assessed as Minimal.",T1053.003,Cron,[],Azure Security Center Recommendations,Azure Security Center Recommendations,technique_scores,protect,minimal,T1053,Azure Security Center Recommendations,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
116,"This control's ""Immutable (read-only) root filesystem should be enforced for containers"" recommendation can lead to preventing the addition or modification of config files in Kubernetes containers required to implement the behaviors described in these sub-techniques.   Because this is a recommendation, and specific to Kubernetes containers, its score is assessed as Minimal.",T1053.006,Systemd Timers,[],Azure Security Center Recommendations,Azure Security Center Recommendations,technique_scores,protect,minimal,T1053,Azure Security Center Recommendations,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
117,"This control's ""Immutable (read-only) root filesystem should be enforced for containers"" recommendation can mitigate a sub-techniques of this technique.  Due to it being a recommendation and providing minimal coverage, its score is assessed as Minimal.",T1556,Modify Authentication Process,"['https://docs.microsoft.com/en-us/azure/security-center/recommendations-reference', 'https://docs.microsoft.com/en-us/azure/security-center/security-center-introduction']",Azure Security Center Recommendations,Azure Security Center Recommendations,technique_scores,protect,minimal,,Azure Security Center Recommendations,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
118,"This control's ""Immutable (read-only) root filesystem should be enforced for containers""  recommendation can lead to preventing this sub-technique which often modifies  Pluggable Authentication Modules (PAM) components in the file system.  Because this is a recommendation, and specific to Kubernetes containers, its score is assessed as Minimal.",T1556.003,Pluggable Authentication Modules,[],Azure Security Center Recommendations,Azure Security Center Recommendations,technique_scores,protect,minimal,T1556,Azure Security Center Recommendations,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
119,"This control's ""Immutable (read-only) root filesystem should be enforced for containers"" and ""Usage of pod HostPath volume mounts should be restricted to a known list to restrict node access from compromised containers"" recommendations can mitigate this technique.  Due to it being a recommendation, its score is capped at Partial.",T1080,Taint Shared Content,"['https://docs.microsoft.com/en-us/azure/security-center/recommendations-reference', 'https://docs.microsoft.com/en-us/azure/security-center/security-center-introduction']",Azure Security Center Recommendations,Azure Security Center Recommendations,technique_scores,protect,partial,,Azure Security Center Recommendations,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
120,"This control's ""Immutable (read-only) root filesystem should be enforced for containers"" recommendation can lead to mitigating a sub-technique of this technique by preventing modification of the local filesystem.  Due to it being a recommendation, its score is capped at Partial.",T1074,Data Staged,"['https://docs.microsoft.com/en-us/azure/security-center/recommendations-reference', 'https://docs.microsoft.com/en-us/azure/security-center/security-center-introduction']",Azure Security Center Recommendations,Azure Security Center Recommendations,technique_scores,protect,partial,,Azure Security Center Recommendations,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
121,"This control's ""Immutable (read-only) root filesystem should be enforced for containers"" recommendation can lead to mitigating this sub-technique by preventing modification of the local filesystem.  Due to it being a recommendation, its score is capped at Partial.",T1074.001,Local Data Staging,[],Azure Security Center Recommendations,Azure Security Center Recommendations,technique_scores,protect,partial,T1074,Azure Security Center Recommendations,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
122,"This control's ""Immutable (read-only) root filesystem should be enforced for containers"" recommendation can lead to mitigating this technique by preventing modification of the local filesystem.  Due to it being a recommendation, its score is capped at Partial.",T1485,Data Destruction,"['https://docs.microsoft.com/en-us/azure/security-center/recommendations-reference', 'https://docs.microsoft.com/en-us/azure/security-center/security-center-introduction']",Azure Security Center Recommendations,Azure Security Center Recommendations,technique_scores,protect,partial,,Azure Security Center Recommendations,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
123,"This control's ""Immutable (read-only) root filesystem should be enforced for containers"" recommendation can lead to mitigating this technique by preventing modification of the local filesystem.  Due to it being a recommendation, its score is capped at Partial.",T1486,Data Encrypted for Impact,"['https://docs.microsoft.com/en-us/azure/security-center/recommendations-reference', 'https://docs.microsoft.com/en-us/azure/security-center/security-center-introduction']",Azure Security Center Recommendations,Azure Security Center Recommendations,technique_scores,protect,partial,,Azure Security Center Recommendations,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
124,"This control's ""Immutable (read-only) root filesystem should be enforced for containers"" recommendation can lead to mitigating a sub-technique of this technique by preventing modification of the local filesystem.  Due to it being a recommendation and mitigating only one sub-technique, its score is assessed as Minimal.",T1565,Data Manipulation,"['https://docs.microsoft.com/en-us/azure/security-center/recommendations-reference', 'https://docs.microsoft.com/en-us/azure/security-center/security-center-introduction']",Azure Security Center Recommendations,Azure Security Center Recommendations,technique_scores,protect,minimal,,Azure Security Center Recommendations,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
125,"This control's ""Immutable (read-only) root filesystem should be enforced for containers"" recommendation can lead to mitigating this sub-technique by preventing modification of the local filesystem.  

Likewise this control's recommendations related to using customer-managed keys to encrypt data at rest and enabling transparent data encryption for SQL databases can mitigate this sub-technique by reducing an adversary's ability to perform tailored data modifications.

Due to it being a recommendation, its score is capped at Partial.",T1565.001,Stored Data Manipulation,[],Azure Security Center Recommendations,Azure Security Center Recommendations,technique_scores,protect,partial,T1565,Azure Security Center Recommendations,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
126,"This control's recommendations about removing deprecated and external accounts with sensitive permissions from your subscription can lead to mitigating the Cloud Accounts sub-technique of this technique.  Because this is a recommendation and has low coverage, it is assessed as Minimal.",T1078,Valid Accounts,"['https://docs.microsoft.com/en-us/azure/security-center/recommendations-reference', 'https://docs.microsoft.com/en-us/azure/security-center/security-center-introduction']",Azure Security Center Recommendations,Azure Security Center Recommendations,technique_scores,protect,minimal,,Azure Security Center Recommendations,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
127,"This control's ""Deprecated accounts should be removed from your subscription"" and ""Deprecated accounts with owner permissions should be removed from your subscription"" recommendation can lead to removing accounts that should not be utilized from your subscriptions thereby denying adversaries the usage of these accounts to find ways to access your data without being noticed.  
Likewise, the recommendations related to External account permissions can also mitigate this sub-technique.
Because these are recommendations and only limited to deprecated and external accounts, this is scored as Minimal.",T1078.004,Cloud Accounts,[],Azure Security Center Recommendations,Azure Security Center Recommendations,technique_scores,protect,minimal,T1078,Azure Security Center Recommendations,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
128,"This control's ""Management ports should be closed on your virtual machines"" recommendation can lead to reducing the attack surface of your Azure VMs by recommending closing management ports.  Because this is a recommendation, its score is limited to Partial.",T1133,External Remote Services,"['https://docs.microsoft.com/en-us/azure/security-center/recommendations-reference', 'https://docs.microsoft.com/en-us/azure/security-center/security-center-introduction']",Azure Security Center Recommendations,Azure Security Center Recommendations,technique_scores,protect,partial,,Azure Security Center Recommendations,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
129,A variety of alerts may be generated by malicious access and enumeration of Azure Storage. ,T1530,Data from Cloud Storage Object,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-storage-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-azurestorage']",Azure Defender for Storage,Azure Defender for Storage,technique_scores,detect,significant,,Azure Defender for Storage,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
130,"This control provides minimal detection for its procedure examples.  Additionally, it is able to detect only one of its sub-techniques (Cloud Accounts) resulting in a Minimal Coverage score and consequently an overall score of Minimal.",T1078,Valid Accounts,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-storage-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-azurestorage']",Azure Defender for Storage,Azure Defender for Storage,technique_scores,detect,minimal,,Azure Defender for Storage,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
131,"This control may generate alerts based on unfamiliar or suspicious IP addresses, TOR exit node, and anonymous access. ",T1078.004,Cloud Accounts,[],Azure Defender for Storage,Azure Defender for Storage,technique_scores,detect,significant,T1078,Azure Defender for Storage,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
132,This control may alert on upload of possible malware or executable and Azure Cloud Services Package files. These alerts are dependent on Microsoft threat intelligence and may not alert on novel or modified malware.,T1105,Ingress Tool Transfer,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-storage-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-azurestorage']",Azure Defender for Storage,Azure Defender for Storage,technique_scores,detect,partial,,Azure Defender for Storage,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
133,"""When a file is suspected to contain malware, Security Center displays an alert and can optionally email the storage owner for approval to delete the suspicious file.""  This delete response capability leads to a Response type of Eradication although it is specific to Azure Blob, Azure Files and Azure Data Lake Storage storage types resulting in an overall score of Partial.",T1105,Ingress Tool Transfer,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-storage-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-azurestorage']",Azure Defender for Storage,Azure Defender for Storage,technique_scores,respond,partial,,Azure Defender for Storage,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
134,This control may alert on upload of possible malware or executable and Azure Cloud Services Package files. These alerts are dependent on Microsoft threat intelligence and may not alert on novel or modified malware.,T1080,Taint Shared Content,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-storage-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-azurestorage']",Azure Defender for Storage,Azure Defender for Storage,technique_scores,detect,partial,,Azure Defender for Storage,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
135,"""When a file is suspected to contain malware, Security Center displays an alert and can optionally email the storage owner for approval to delete the suspicious file.""  This delete response capability leads to a Response type of Eradication although it is specific to Azure Blob, Azure Files and Azure Data Lake Storage storage types resulting in an overall score of Partial.",T1080,Taint Shared Content,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-storage-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-azurestorage']",Azure Defender for Storage,Azure Defender for Storage,technique_scores,respond,partial,,Azure Defender for Storage,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
136,This control may alert on unusually large amounts of data being extracted from Azure storage and suspicious access to storage accounts. There are no alerts specifically tied to data transfer between cloud accounts but there are several alerts for anomalous storage access and transfer.,T1537,Transfer Data to Cloud Account,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-storage-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-azurestorage']",Azure Defender for Storage,Azure Defender for Storage,technique_scores,detect,partial,,Azure Defender for Storage,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
137,"This control may generate alerts when there has been an unusual or unexpected delete operation within Azure cloud storage. Alerts may not be generated by disabling of storage backups, versioning, or editing of storage objects.",T1485,Data Destruction,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-storage-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-azurestorage']",Azure Defender for Storage,Azure Defender for Storage,technique_scores,detect,minimal,,Azure Defender for Storage,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
138,"This control may alert on suspicious Unix shell and PHP execution. Mismatched script extensions may also generate alerts of suspicious activity. Only one of the technique's sub-techniques is covered, resulting in a score of Minimal.",T1059,Command and Scripting Interpreter,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-linux']",Linux auditd alerts and Log Analytics agent integration,Linux auditd alerts and Log Analytics agent integration,technique_scores,detect,minimal,,Linux auditd alerts and Log Analytics agent integration,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
139,"This control may alert on suspicious commandline activity. Alerts may be generated on possible detection of shellcode usage on the commandline, based on arguments, location, user, etc.",T1059.004,Unix Shell,[],Linux auditd alerts and Log Analytics agent integration,Linux auditd alerts and Log Analytics agent integration,technique_scores,detect,partial,T1059,Linux auditd alerts and Log Analytics agent integration,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
140,This control may alert on suspicious arguments used to exploit Xorg vulnerabilities for privilege escalation.,T1068,Exploitation for Privilege Escalation,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-linux']",Linux auditd alerts and Log Analytics agent integration,Linux auditd alerts and Log Analytics agent integration,technique_scores,detect,minimal,,Linux auditd alerts and Log Analytics agent integration,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
