,comments,attack_object_id,attack_object_name,references,capability_description,capability_id,mapping_type,score_category,score_value,related_score,group,organization,creation_date,last_update,attack_version,technology_domain,mapping_framework,mapping_framework_version,mapping_framework_version_schema
116,"GuardDuty has the following finding types to flag events where adversaries may dynamically establish connections to command-and-control infrastructure to evade common detections and remediations.
Trojan:EC2/DGADomainRequest.B Trojan:EC2/DGADomainRequest.C!DNS",T1568,Dynamic Resolution,"['https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_finding-types-ec2.html#recon-ec2-portscan', 'https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_findings.html']",Amazon GuardDuty,Amazon GuardDuty,technique_scores,detect,partial,,Amazon GuardDuty,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
117,"GuardDuty has the following finding types to flag events where adversaries may dynamically establish connections to command-and-control infrastructure to evade common detections and remediations.
Trojan:EC2/DGADomainRequest.B Trojan:EC2/DGADomainRequest.C!DNS",T1568.002,Domain Generation Algorithms,[],Amazon GuardDuty,Amazon GuardDuty,technique_scores,detect,partial,T1568,Amazon GuardDuty,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
118,"GuardDuty has the following finding type to flag events where adversaries may communicate using a protocol and port paring that are typically not associated.
Behavior:EC2/NetworkPortUnusual",T1571,Non-Standard Port,"['https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_finding-types-ec2.html#recon-ec2-portscan', 'https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_findings.html']",Amazon GuardDuty,Amazon GuardDuty,technique_scores,detect,partial,,Amazon GuardDuty,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
119,"The following GuardDuty finding type flags events where adversaries may use a connection proxy to direct network traffic between systems or act as an intermediary for network communications to a command-and-control server to avoid direct connections to their infrastructure.
UnauthorizedAccess:EC2/TorClient UnauthorizedAccess:EC2/TorRelay
Due to the detection being limited to a specific type of proxy, Tor, its coverage is Minimal resulting in a Minimal score.",T1090,Proxy,"['https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_finding-types-ec2.html#recon-ec2-portscan', 'https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_findings.html']",Amazon GuardDuty,Amazon GuardDuty,technique_scores,detect,minimal,,Amazon GuardDuty,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
120,"The UnauthorizedAccess:EC2/TorClient GuardDuty finding type flags events where adversaries may use a connection proxy to direct network traffic between systems or act as an intermediary for network communications to a command-and-control server to avoid direct connections to their infrastructure.
Due to the detection being limited to a specific type of proxy, Tor, its coverage is Minimal resulting in a Minimal score.",T1090.001,Internal Proxy,[],Amazon GuardDuty,Amazon GuardDuty,technique_scores,detect,minimal,T1090,Amazon GuardDuty,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
121,"The UnauthorizedAccess:EC2/TorClient GuardDuty finding type flags events where adversaries may use a connection proxy to direct network traffic between systems or act as an intermediary for network communications to a command-and-control server to avoid direct connections to their infrastructure.
Due to the detection being limited to a specific type of proxy, Tor, its coverage is Minimal resulting in a Minimal score.",T1090.002,External Proxy,[],Amazon GuardDuty,Amazon GuardDuty,technique_scores,detect,minimal,T1090,Amazon GuardDuty,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
122,"The UnauthorizedAccess:EC2/TorClient GuardDuty finding type flags events where adversaries may use a connection proxy to direct network traffic between systems or act as an intermediary for network communications to a command-and-control server to avoid direct connections to their infrastructure.
Due to the detection being limited to a specific type of proxy, Tor, its coverage is Minimal resulting in a Minimal score.",T1090.003,Multi-hop Proxy,[],Amazon GuardDuty,Amazon GuardDuty,technique_scores,detect,minimal,T1090,Amazon GuardDuty,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
123,"The following GuardDuty finding type flags events that may indicate adversaries attempting to exfiltrate data, such as sensitive documents, through the use of automated processing after being gathered during Collection.
Behavior:EC2/TrafficVolumeUnusual Exfiltration:S3/MaliciousIPCaller Exfiltration:S3/ObjectRead.Unusual PenTest:S3/KaliLinux PenTest:S3/ParrotLinux PenTest:S3/PentooLinux UnauthorizedAccess:S3/MaliciousIPCaller.Custom UnauthorizedAccess:S3/TorIPCaller",T1020,Automated Exfiltration,"['https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_finding-types-ec2.html#recon-ec2-portscan', 'https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_findings.html']",Amazon GuardDuty,Amazon GuardDuty,technique_scores,detect,partial,,Amazon GuardDuty,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
124,"The following GuardDuty finding type flags events that may indicate adversaries attempting to exfiltrate data, such as sensitive documents, through the use of automated processing after being gathered during Collection.
Behavior:EC2/TrafficVolumeUnusual
Accuracy and Coverage is unknown, as this finding flags traffic volume that differs from a baseline.",T1029,Scheduled Transfer,"['https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_finding-types-ec2.html#recon-ec2-portscan', 'https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_findings.html']",Amazon GuardDuty,Amazon GuardDuty,technique_scores,detect,minimal,,Amazon GuardDuty,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
125,"The following GuardDuty finding type flags events that may indicate adversaries attempting to exfiltrate data, such as sensitive documents.
Behavior:EC2/TrafficVolumeUnusual
Accuracy and Coverage is unknown, as this finding flags traffic volume that differs from a baseline.",T1041,Exfiltration Over C2 Channel,"['https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_finding-types-ec2.html#recon-ec2-portscan', 'https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_findings.html']",Amazon GuardDuty,Amazon GuardDuty,technique_scores,detect,minimal,,Amazon GuardDuty,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
126,"The following GuardDuty finding type flags events where adversaries may steal data by exfiltrating it over a different protocol than that of the existing command-and-control channel.
Trojan:EC2/DNSDataExfiltration Behavior:EC2/TrafficVolumeUnusual",T1048,Exfiltration Over Alternative Protocol,"['https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_finding-types-ec2.html#recon-ec2-portscan', 'https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_findings.html']",Amazon GuardDuty,Amazon GuardDuty,technique_scores,detect,partial,,Amazon GuardDuty,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
127,"The following GuardDuty finding type flags events where adversaries may steal data by exfiltrating it over a different protocol than that of the existing command and control channel.
Trojan:EC2/DNSDataExfiltration Behavior:EC2/TrafficVolumeUnusual",T1048.003,Exfiltration Over Unencrypted/Obfuscated Non-C2 Protocol,[],Amazon GuardDuty,Amazon GuardDuty,technique_scores,detect,partial,T1048,Amazon GuardDuty,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
128,"The following finding types in GuardDuty flag events where adversaries may use an existing, legitimate external Web service to exfiltrate data rather than their primary command-and-control channel.
Exfiltration:S3/ObjectRead.Unusual Exfiltration:S3/MaliciousIPCaller Exfiltration:IAMUser/AnomalousBehavior Behavior:EC2/TrafficVolumeUnusual",T1567,Exfiltration Over Web Service,"['https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_finding-types-ec2.html#recon-ec2-portscan', 'https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_findings.html']",Amazon GuardDuty,Amazon GuardDuty,technique_scores,detect,partial,,Amazon GuardDuty,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
129,"The following finding types in GuardDuty flag events where adversaries may use an existing, legitimate external Web service to exfiltrate data rather than their primary command-and-control channel.
Exfiltration:S3/ObjectRead.Unusual Exfiltration:S3/MaliciousIPCaller Exfiltration:IAMUser/AnomalousBehavior Behavior:EC2/TrafficVolumeUnusual",T1567.001,Exfiltration to Code Repository,[],Amazon GuardDuty,Amazon GuardDuty,technique_scores,detect,partial,T1567,Amazon GuardDuty,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
130,"The following finding types in GuardDuty flag events where adversaries may use an existing, legitimate external Web service to exfiltrate data rather than their primary command-and-control channel.
Exfiltration:S3/ObjectRead.Unusual Exfiltration:S3/MaliciousIPCaller Exfiltration:IAMUser/AnomalousBehavior Behavior:EC2/TrafficVolumeUnusual",T1567.002,Exfiltration to Cloud Storage,[],Amazon GuardDuty,Amazon GuardDuty,technique_scores,detect,partial,T1567,Amazon GuardDuty,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
131,"The following GuardDuty Finding type flags events where adversaries may interrupt availability of system and network resources by inhibiting access to accounts utilized by legitimate users.
Impact:IAMUser/AnomalousBehavior",T1531,Account Access Removal,"['https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_finding-types-ec2.html#recon-ec2-portscan', 'https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_findings.html']",Amazon GuardDuty,Amazon GuardDuty,technique_scores,detect,partial,,Amazon GuardDuty,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
132,"The following GuardDuty finding type flags events where adversaries may destroy data and files on specific systems or in large numbers on a network to interrupt availability to systems, services, and network resources.
Impact:S3/MaliciousIPCaller, Impact:IAMUser/AnomalousBehavior Stealth:S3/ServerAccessLoggingDisabled UnauthorizedAccess:S3/MaliciousIPCaller.Custom UnauthorizedAccess:S3/TorIPCaller PenTest:S3/PentooLinux PenTest:S3/ParrotLinux PenTest:S3/KaliLinux",T1485,Data Destruction,"['https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_finding-types-ec2.html#recon-ec2-portscan', 'https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_findings.html']",Amazon GuardDuty,Amazon GuardDuty,technique_scores,detect,partial,,Amazon GuardDuty,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
133,"The following GuardDuty finding type flags events where adversaries may encrypt data on target systems or on large numbers of systems in a network to interrupt availability to system and network resources.
Impact:S3/MaliciousIPCaller Stealth:S3/ServerAccessLoggingDisabled UnauthorizedAccess:S3/MaliciousIPCaller.Custom UnauthorizedAccess:S3/TorIPCaller PenTest:S3/PentooLinux PenTest:S3/ParrotLinux PenTest:S3/KaliLinux",T1486,Data Encrypted for Impact,"['https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_finding-types-ec2.html#recon-ec2-portscan', 'https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_findings.html']",Amazon GuardDuty,Amazon GuardDuty,technique_scores,detect,partial,,Amazon GuardDuty,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
134,"The following GuardDuty finding type flags events where adversaries may insert, delete, or manipulate data in order to manipulate external outcomes or hide activity.
Impact:S3/MaliciousIPCaller",T1565,Data Manipulation,"['https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_finding-types-ec2.html#recon-ec2-portscan', 'https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_findings.html']",Amazon GuardDuty,Amazon GuardDuty,technique_scores,detect,partial,,Amazon GuardDuty,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
135,"The Impact:S3/MaliciousIPCaller finding type is looking for API calls commonly associated with Impact tactic of techniques where an adversary is trying to manipulate, interrupt, or destroy data within your AWS environment.",T1565.001,Stored Data Manipulation,[],Amazon GuardDuty,Amazon GuardDuty,technique_scores,detect,partial,T1565,Amazon GuardDuty,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
136,"The following finding types in GuardDuty flag events where adversaries may perform Network Denial of Service (DoS) attacks to degrade or block the availability of targeted resources to users.
Backdoor:EC2/DenialOfService.UdpOnTcpPorts Backdoor:EC2/DenialOfService.UnusualProtocol Backdoor:EC2/DenialOfService.Udp Backdoor:EC2/DenialOfService.Tcp Backdoor:EC2/DenialOfService.Dns",T1498,Network Denial of Service,"['https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_finding-types-ec2.html#recon-ec2-portscan', 'https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_findings.html']",Amazon GuardDuty,Amazon GuardDuty,technique_scores,detect,partial,,Amazon GuardDuty,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
137,"The following finding types in GuardDuty flag events where adversaries may perform Network Denial of Service (DoS) attacks to degrade or block the availability of targeted resources to users.
Backdoor:EC2/DenialOfService.UdpOnTcpPorts Backdoor:EC2/DenialOfService.UnusualProtocol Backdoor:EC2/DenialOfService.Udp Backdoor:EC2/DenialOfService.Tcp Backdoor:EC2/DenialOfService.Dns",T1498.001,Direct Network Flood,[],Amazon GuardDuty,Amazon GuardDuty,technique_scores,detect,partial,T1498,Amazon GuardDuty,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
138,"The following finding types in GuardDuty flag events where adversaries may perform Network Denial of Service (DoS) attacks to degrade or block the availability of targeted resources to users.
Backdoor:EC2/DenialOfService.UdpOnTcpPorts Backdoor:EC2/DenialOfService.UnusualProtocol Backdoor:EC2/DenialOfService.Udp Backdoor:EC2/DenialOfService.Tcp Backdoor:EC2/DenialOfService.Dns",T1498.002,Reflection Amplification,[],Amazon GuardDuty,Amazon GuardDuty,technique_scores,detect,partial,T1498,Amazon GuardDuty,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
139,"The following GuardDuty finding types flag events where adversaries may leverage the resources of co-opted systems in order to solve resource intensive problems which may impact system and/or hosted service availability.
CryptoCurrency:EC2/BitcoinTool.B CryptoCurrency:EC2/BitcoinTool.B!DNS Impact:EC2/BitcoinDomainRequest.Reputation UnauthorizedAccess:EC2/TorRelay",T1496,Resource Hijacking,"['https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_finding-types-ec2.html#recon-ec2-portscan', 'https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_findings.html']",Amazon GuardDuty,Amazon GuardDuty,technique_scores,detect,partial,,Amazon GuardDuty,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
140,"GuardDuty provides multiple finding types that flag malicious activity against resources. These findings focus on API calls that look suspicious and although they do not flag events such as Defacement specifically, it can be inferred that these findings can result in mitigating this technique's negative impact. With this assumption the score is capped at Partial. ",T1491,Defacement,"['https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_finding-types-ec2.html#recon-ec2-portscan', 'https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_findings.html']",Amazon GuardDuty,Amazon GuardDuty,technique_scores,detect,partial,,Amazon GuardDuty,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
141,"The following finding types can be used to detect behavior that can lead to the defacement of
cloud resources:
Impact:S3/MaliciousIPCaller
Exfiltration:S3/MaliciousIPCaller
Exfiltration:S3/ObjectRead.Unusual
PenTest:S3/KaliLinux
PenTest:S3/ParrotLinux
PenTest:S3/PentooLinux
UnauthorizedAccess:S3/MaliciousIPCaller.Custom
UnauthorizedAccess:S3/TorIPCaller",T1491.002,External Defacement,[],Amazon GuardDuty,Amazon GuardDuty,technique_scores,detect,partial,T1491,Amazon GuardDuty,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
142,"The following finding types can be used to detect behavior that can lead to the defacement of
cloud resources:
Impact:S3/MaliciousIPCaller
Exfiltration:S3/MaliciousIPCaller
Exfiltration:S3/ObjectRead.Unusual
PenTest:S3/KaliLinux
PenTest:S3/ParrotLinux
PenTest:S3/PentooLinux
UnauthorizedAccess:S3/MaliciousIPCaller.Custom
UnauthorizedAccess:S3/TorIPCaller",T1491.001,Internal Defacement,[],Amazon GuardDuty,Amazon GuardDuty,technique_scores,detect,partial,T1491,Amazon GuardDuty,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
143,,T1498,Network Denial of Service,"['https://aws.amazon.com/shield/?whats-new-cards.sort-by=item.additionalFields.postDateTime&whats-new-cards.sort-order=desc', 'https://aws.amazon.com/shield/features/']",AWS Shield,AWS Shield,technique_scores,respond,significant,,AWS Shield,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
144,"AWS Shield will set and use a static network flow threshold to detect incoming traffic to AWS services. This will reduce direct network DOS attacks by applying an undisclosed combination of traffic signatures, anomaly algorithms, and other analysis techniques to detect malicious traffic in real-time. AWS Shield Advance identifies anomalies in network traffic to flag attempted attacks and execute inline mitigations to resolve the issue. ",T1498.001,Direct Network Flood,[],AWS Shield,AWS Shield,technique_scores,respond,significant,T1498,AWS Shield,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
145,"AWS Shield will set and use a static network flow threshold to detect incoming traffic to AWS services. This will reduce direct network DOS attacks by applying an undisclosed combination of traffic signatures, anomaly algorithms, and other analysis techniques to detect malicious traffic in real-time. AWS Shield Advance identifies anomalies in network traffic to flag attempted attacks and execute inline mitigations to resolve the issue. ",T1498.002,Reflection Amplification,[],AWS Shield,AWS Shield,technique_scores,respond,significant,T1498,AWS Shield,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
146,,T1499,Endpoint Denial of Service,"['https://aws.amazon.com/shield/?whats-new-cards.sort-by=item.additionalFields.postDateTime&whats-new-cards.sort-order=desc', 'https://aws.amazon.com/shield/features/']",AWS Shield,AWS Shield,technique_scores,respond,significant,,AWS Shield,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
147,AWS Shield Standard provides protection and response to these Denial of Service attacks in real time by using a network traffic baseline and identifying anomalies among other techniques. ,T1499.001,OS Exhaustion Flood,[],AWS Shield,AWS Shield,technique_scores,respond,significant,T1499,AWS Shield,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
148,AWS Shield Standard provides protection and response to these Denial of Service attacks in real time by using a network traffic baseline and identifying anomalies among other techniques. ,T1499.002,Service Exhaustion Flood,[],AWS Shield,AWS Shield,technique_scores,respond,significant,T1499,AWS Shield,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
149,AWS Shield Advance allows for customized detection and mitigations for custom applications that are running on EC2 instances.,T1499.003,Application Exhaustion Flood,[],AWS Shield,AWS Shield,technique_scores,respond,significant,T1499,AWS Shield,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
150,"This control provides partial coverage for this technique's only sub-technique, but without specific coverage for its procedures, resulting in an overall score of Minimal.",T1020,Automated Exfiltration,"['https://aws.amazon.com/iot-device-defender/', 'https://docs.aws.amazon.com/iot-device-defender', 'https://docs.aws.amazon.com/iot/latest/developerguide/dd-mitigation-actions', 'https://docs.aws.amazon.com/iot/latest/developerguide/dd-detect-security-use-cases', 'https://docs.aws.amazon.com/iot/latest/developerguide/detect-cloud-side-metrics', 'https://docs.aws.amazon.com/iot/latest/developerguide/detect-device-side-metrics', 'https://docs.aws.amazon.com/iot/latest/developerguide/device-defender', 'https://docs.aws.amazon.com/iot/latest/developerguide/device-defender-audit', 'https://docs.aws.amazon.com/iot/latest/developerguide/device-defender-detect']",AWS IoT Device Defender,AWS IoT Device Defender,technique_scores,protect,minimal,,AWS IoT Device Defender,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
151,"The following AWS IoT Device Defender audit checks and corresponding mitigation actions can identify and resolve configuration problems that should be fixed in order to ensure SSL/TLS encryption is enabled and secure to protect network traffic to/from IoT devices: ""CA certificate expiring"" (""CA_CERTIFICATE_EXPIRING_CHECK"" in the CLI and API), ""CA certificate key quality"" (""CA_CERTIFICATE_KEY_QUALITY_CHECK"" in the CLI and API), and ""CA certificate revoked but device certificates still active"" (""REVOKED_CA_CERTIFICATE_STILL_ACTIVE_CHECK"" in the CLI and API) can identify problems with certificate authority (CA) certificates being used for signing and support the ""UPDATE_CA_CERTIFICATE"" mitigation action which can resolve them. ""Device certificate expiring"" (""DEVICE_CERTIFICATE_EXPIRING_CHECK"" in the CLI and API), ""Device certificate key quality"" (""DEVICE_CERTIFICATE_KEY_QUALITY_CHECK"" in the CLI and API), ""Device certificate shared"" (""DEVICE_CERTIFICATE_SHARED_CHECK"" in the CLI and API), and ""Revoked device certificate still active"" (""REVOKED_DEVICE_CERTIFICATE_STILL_ACTIVE_CHECK"" in the CLI and API) can identify problems with IoT devices' certificates and support the ""UPDATE_DEVICE_CERTIFICATE"" and ""ADD_THINGS_TO_THING_GROUP"" mitigation actions which can resolve them.
Coverage factor is partial for these checks and mitigations, since they are specific to IoT device communication and can only mitigate behavior for adversaries who are unable to decrypt the relevant traffic, resulting in an overall score of Partial.",T1020.001,Traffic Duplication,[],AWS IoT Device Defender,AWS IoT Device Defender,technique_scores,protect,partial,T1020,AWS IoT Device Defender,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
152,"The following AWS IoT Device Defender audit checks and corresponding mitigation actions can identify and resolve configuration problems that should be fixed in order to ensure SSL/TLS encryption is enabled and secure to protect network traffic to/from IoT devices: ""CA certificate expiring"" (""CA_CERTIFICATE_EXPIRING_CHECK"" in the CLI and API), ""CA certificate key quality"" (""CA_CERTIFICATE_KEY_QUALITY_CHECK"" in the CLI and API), and ""CA certificate revoked but device certificates still active"" (""REVOKED_CA_CERTIFICATE_STILL_ACTIVE_CHECK"" in the CLI and API) can identify problems with certificate authority (CA) certificates being used for signing and support the ""UPDATE_CA_CERTIFICATE"" mitigation action which can resolve them. ""Device certificate expiring"" (""DEVICE_CERTIFICATE_EXPIRING_CHECK"" in the CLI and API), ""Device certificate key quality"" (""DEVICE_CERTIFICATE_KEY_QUALITY_CHECK"" in the CLI and API), ""Device certificate shared"" (""DEVICE_CERTIFICATE_SHARED_CHECK"" in the CLI and API), and ""Revoked device certificate still active"" (""REVOKED_DEVICE_CERTIFICATE_STILL_ACTIVE_CHECK"" in the CLI and API) can identify problems with IoT devices' certificates and support the ""UPDATE_DEVICE_CERTIFICATE"" and ""ADD_THINGS_TO_THING_GROUP"" mitigation actions which can resolve them.
Coverage factor is partial for these checks and mitigations, since they are specific to IoT device communication and can only mitigate behavior for adversaries who are unable to decrypt the relevant traffic, resulting in an overall score of Partial.",T1040,Network Sniffing,"['https://aws.amazon.com/iot-device-defender/', 'https://docs.aws.amazon.com/iot-device-defender', 'https://docs.aws.amazon.com/iot/latest/developerguide/dd-mitigation-actions', 'https://docs.aws.amazon.com/iot/latest/developerguide/dd-detect-security-use-cases', 'https://docs.aws.amazon.com/iot/latest/developerguide/detect-cloud-side-metrics', 'https://docs.aws.amazon.com/iot/latest/developerguide/detect-device-side-metrics', 'https://docs.aws.amazon.com/iot/latest/developerguide/device-defender', 'https://docs.aws.amazon.com/iot/latest/developerguide/device-defender-audit', 'https://docs.aws.amazon.com/iot/latest/developerguide/device-defender-detect']",AWS IoT Device Defender,AWS IoT Device Defender,technique_scores,protect,partial,,AWS IoT Device Defender,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
153,"The following AWS IoT Device Defender device-side detection metrics can detect indicators that an adversary may be exfiltrating collected data from compromised AWS IoT devices using an established command and control channel to/from those devices: ""Destination IPs"" (""aws:destination-ip-addresses"") outside of expected IP address ranges may suggest that a device is communicating with unexpected parties. ""Bytes in"" (""aws:all-bytes-in""), ""Bytes out"" (""aws:all-bytes-out""), ""Packets in"" (""aws:all-packets-in""), and ""Packets out"" (""aws:all-packets-out"") values outside of expected norms may indicate that the device is sending and/or receiving non-standard traffic, which may include exfiltration of stolen data. ""Listening TCP ports"" (""aws:listening-tcp-ports""), ""Listening TCP port count"" (""aws:num-listening-tcp-ports""), ""Established TCP connections count"" (""aws:num-established-tcp-connections""), ""Listening UDP ports"" (""aws:listening-udp-ports""), and ""Listening UDP port count"" (""aws:num-listening-udp-ports"") values outside of expected norms may indicate that devices are communicating via unexpected ports/protocols, which may include exfiltration of data over command and control channels.
Coverage factor is partial, since these metrics are limited to exfiltration from IoT devices, resulting in an overall score of Partial.",T1041,Exfiltration Over C2 Channel,"['https://aws.amazon.com/iot-device-defender/', 'https://docs.aws.amazon.com/iot-device-defender', 'https://docs.aws.amazon.com/iot/latest/developerguide/dd-mitigation-actions', 'https://docs.aws.amazon.com/iot/latest/developerguide/dd-detect-security-use-cases', 'https://docs.aws.amazon.com/iot/latest/developerguide/detect-cloud-side-metrics', 'https://docs.aws.amazon.com/iot/latest/developerguide/detect-device-side-metrics', 'https://docs.aws.amazon.com/iot/latest/developerguide/device-defender', 'https://docs.aws.amazon.com/iot/latest/developerguide/device-defender-audit', 'https://docs.aws.amazon.com/iot/latest/developerguide/device-defender-detect']",AWS IoT Device Defender,AWS IoT Device Defender,technique_scores,detect,partial,,AWS IoT Device Defender,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
154,"The following AWS IoT Device Defender device-side detection metrics can detect indicators that an adversary may be leveraging compromised AWS IoT devices to search their networks for other hosts and their running services, possibly to subsequently carry out lateral movement techniques: ""Destination IPs"" (""aws:destination-ip-addresses"") outside of expected IP address ranges may suggest that a device is communicating with unexpected devices. ""Bytes in"" (""aws:all-bytes-in""), ""Bytes out"" (""aws:all-bytes-out""), ""Packets in"" (""aws:all-packets-in""), and ""Packets out"" (""aws:all-packets-out"") values outside of expected norms may indicate that the device is sending and/or receiving non-standard traffic, which may traffic used to discover other hosts/services. ""Listening TCP ports"" (""aws:listening-tcp-ports""), ""Listening TCP port count"" (""aws:num-listening-tcp-ports""), ""Established TCP connections count"" (""aws:num-established-tcp-connections""), ""Listening UDP ports"" (""aws:listening-udp-ports""), and ""Listening UDP port count"" (""aws:num-listening-udp-ports"") values outside of expected norms may indicate that devices are communicating via unexpected ports/protocols that may suggest scanning is taking place.
Coverage factor is partial, since these metrics are limited to IoT device communication and detection is only based on network traffic, resulting in an overall score of Partial.",T1046,Network Service Scanning,"['https://aws.amazon.com/iot-device-defender/', 'https://docs.aws.amazon.com/iot-device-defender', 'https://docs.aws.amazon.com/iot/latest/developerguide/dd-mitigation-actions', 'https://docs.aws.amazon.com/iot/latest/developerguide/dd-detect-security-use-cases', 'https://docs.aws.amazon.com/iot/latest/developerguide/detect-cloud-side-metrics', 'https://docs.aws.amazon.com/iot/latest/developerguide/detect-device-side-metrics', 'https://docs.aws.amazon.com/iot/latest/developerguide/device-defender', 'https://docs.aws.amazon.com/iot/latest/developerguide/device-defender-audit', 'https://docs.aws.amazon.com/iot/latest/developerguide/device-defender-detect']",AWS IoT Device Defender,AWS IoT Device Defender,technique_scores,detect,partial,,AWS IoT Device Defender,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
155,"This control provides partial coverage for this technique and all of its sub-techniques, resulting in an overall score of Partial.",T1048,Exfiltration Over Alternative Protocol,"['https://aws.amazon.com/iot-device-defender/', 'https://docs.aws.amazon.com/iot-device-defender', 'https://docs.aws.amazon.com/iot/latest/developerguide/dd-mitigation-actions', 'https://docs.aws.amazon.com/iot/latest/developerguide/dd-detect-security-use-cases', 'https://docs.aws.amazon.com/iot/latest/developerguide/detect-cloud-side-metrics', 'https://docs.aws.amazon.com/iot/latest/developerguide/detect-device-side-metrics', 'https://docs.aws.amazon.com/iot/latest/developerguide/device-defender', 'https://docs.aws.amazon.com/iot/latest/developerguide/device-defender-audit', 'https://docs.aws.amazon.com/iot/latest/developerguide/device-defender-detect']",AWS IoT Device Defender,AWS IoT Device Defender,technique_scores,detect,partial,,AWS IoT Device Defender,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
